domain,privacy_url,status,screenshot_file,title,text_length,error
101tech.sa,https://101tech.sa/privacy-policy,success,101tech_sa.png,Privacy policy,4793,
10k.com.sa,https://10k.com.sa/privacy,failed,,,0,"Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""https://10k.com.sa/privacy"", waiting until ""domcontentloaded""
"
123co.sa,https://123co.sa/privacy-policy/,success,123co_sa.png,"privacy policy – شركة واحد اثنين ثلاثة التجارية – One Two Three Co,Ltd.",0,
12cups.com.sa,https://12cups.com.sa/ar-us/blogs/privacy-policy,success,12cups_com_sa.png,سياسة الخصوصية,3256,
180degrees.sa,https://180degrees.sa/ar/about-us,failed,,,0,"Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""https://180degrees.sa/ar/about-us"", waiting until ""domcontentloaded""
"
1k.sa,https://1k.sa/blogs/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9,success,1k_sa.png,سياسة الخصوصيّة,2231,
1stc.sa,https://www.1stc.sa/page/privacy-policy,success,1stc_sa.png,منصة المبدأ الأول1stc.sa | سياسة الخصوصية,3224,
1stconcept.edu.sa,https://1stc.sa/page/privacy-policy,success,1stconcept_edu_sa.png,منصة المبدأ الأول1stc.sa | سياسة الخصوصية,3224,
1step.com.sa,https://1step.com.sa/pages/privacy-policy,success,1step_com_sa.png,,829,
24.com.sa,https://www.24.com.sa/usage_and_privacy_agreement,success,24_com_sa.png,اتفاقية الاستخدام والخصوصية | تطبيق سوق العقار 24,17968,
2tex.com.sa,https://2tex.com.sa/pages/privacy-policy,success,2tex_com_sa.png,سياسة الخصوصية,4107,
2trendy.sa,https://2trendy.sa/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9/page-1349466260,failed,,,0,HTTP 403
30days.com.sa,https://30days.com.sa/ar/privacy-policy/,failed,,,0,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://30days.com.sa/ar/privacy-policy/
Call log:
  - navigating to ""https://30days.com.sa/ar/privacy-policy/"", waiting until ""domcontentloaded""
"
3baq.com.sa,https://web.3baq.com.sa/ar/privacy,success,3baq_com_sa.png,عبق التعلم,2333,
3dmco.com.sa,https://3dmco.com.sa/privacy/,success,3dmco_com_sa.png,Privacy - 3dmco.com.sa,13695,
3lines.com.sa,https://3lines.com.sa/en/legal/privacy-policy,success,3lines_com_sa.png,Privacy Policy | Three Lines,5190,
3m.com.sa,https://www.3m.com.sa/3M/en_SA/company-mea/privacy-policy/,failed,,,0,"Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.3m.com.sa/3M/en_SA/company-mea/privacy-policy/
Call log:
  - navigating to ""https://www.3m.com.sa/3M/en_SA/company-mea/privacy-policy/"", waiting"
3sixty.sa,https://3sixty.sa/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9/,success,3sixty_sa.png,سياسة الخصوصية ThreeSixty | حماية بياناتك وحقوقك,2204,
4data.com.sa,https://www.4data.com.sa/privacy-policy/,success,4data_com_sa.png,,4210,
4mal.sa,https://4mal.sa/,failed,,,0,"Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""https://4mal.sa/"", waiting until ""domcontentloaded""
"
4mass.sa,https://4mass.sa/pages/privacy-policy,success,4mass_sa.png,سياسة الخصوصية,7756,
4visions.com.sa,https://4visions.com.sa/privacy-policy-2/,failed,,,0,"Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""https://4visions.com.sa/privacy-policy-2/"", waiting until ""domcontentloaded""
"
4w.com.sa,https://4w.com.sa/policies/privacy-policy,success,4w_com_sa.png,سياسة الخصوصية – Alajlat Alarbah,605,
4x4.sa,https://www.4x4.sa/privacy-policy/,success,4x4_sa.png,Privacy Policy - 4x4,1773,
5050.com.sa,https://www.5050.com.sa/terms-conditions,success,5050_com_sa.png,5050 العقارية - سياسة الخصوصية,1786,
6degrees.com.sa,https://6degrees.com.sa/ar/privacy-policy,failed,,,0,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://6degrees.com.sa/ar/privacy-policy
Call log:
  - navigating to ""https://6degrees.com.sa/ar/privacy-policy"", waiting until ""domcontentloaded""
"
7arf.sa,https://7arf.sa/pages/privacy-policy,success,7arf_sa.png,سياسة الخصوصية,1376,
7fix.sa,https://www.7fix.sa/privacy,success,7fix_sa.png,سياسة الخصوصية | 7Fix B2B - سڤن فكس للأعمال,2044,
7s.com.sa,https://7s.com.sa/privacy-policy/,success,7s_com_sa.png,سياسة الخصوصية - الموقف السابع,1570,
7ways.com.sa,https://prowpmechanic.com/lms/privacy-policy/,failed,,,0,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://prowpmechanic.com/lms/privacy-policy/
Call log:
  - navigating to ""https://prowpmechanic.com/lms/privacy-policy/"", waiting until ""domcontentloaded""
"
8host.sa,https://8host.sa/,success,8host_sa.png,الاستضافة الثامنة - البوابة الرئيسية,5366,
910ths.sa,https://www.910ths.sa/privacy-policy,success,910ths_sa.png,تسعة أعشار | نمكنك لتنمو,13726,
96marketing.com.sa,https://96marketing.com.sa/,success,96marketing_com_sa.png,أفضل شركة تسويق وخدمات الاعمال – شركة تسويق وخدمات الأعمال رائدة في السعودية تقدم حلولًا متكاملة ومبتكرة لتحسين العلامة التجارية وتعزيز وجودها في السوق. نحن متخصصون في تطوير استراتيجيات فعّالة وبناء حلول ذكية تلبي احتياجات الشركات في مختلف القطاعات، مما يساعدها على التميز والنمو في بيئة العمل التنافسية.,3213,
998.gov.sa,https://998.gov.sa/ar/SitePages/Terms/,success,998_gov_sa.png,Terms - الدفاع المدني السعودي,2062,
a-1fencearabia.com.sa,https://www.a-1fencearabia.com.sa/privacy-policy,success,a-1fencearabia_com_sa.png,Integrated Perimeter Security Solutions Provider in Saudi Arabia | A-1 Fence,515,
a-c.sa,https://a-c.sa/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%88%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9/page-1379342388,failed,,,0,HTTP 403
a-z.com.sa,https://www.a-z.com.sa/privacy/,success,a-z_com_sa.png,Privacy - استشارات إدارية متكاملة | A-Z,32,
aa.edu.sa,https://aa.edu.sa/privacy-policy/,success,aa_edu_sa.png,سياسة الخصوصية – الصروح الذكية,2369,
aaa.edu.sa,https://aaa.edu.sa/ar/privacy-policy/,success,aaa_edu_sa.png,Privacy Policy – Assrooh Athakiyah,2780,
aacl.com.sa,https://www.cpanel.net/privacy-policy/,success,aacl_com_sa.png,WebPros Privacy Policy & Data Protection Terms | cPanel,20888,
aacpa.com.sa,https://www.aacpa.com.sa/privacy-policy,success,aacpa_com_sa.png,Privacy Policy | Associated Accountants | Saudi Arabia,127,
aadg.com.sa,https://www.aadg.com.sa/privacy/,failed,,,0,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://www.aadg.com.sa/privacy/
Call log:
  - navigating to ""https://www.aadg.com.sa/privacy/"", waiting until ""domcontentloaded""
"
aaist.com.sa,https://aaist.com.sa/privacy-policy/,success,aaist_com_sa.png,Privacy Policy | Arabian Asyaaf,3504,
aait.sa,https://aait.sa/,success,aait_sa.png,أوامر الشبكة شركة برمجيات في الرياض | تحويل أفكارك إلى حلول برمجية ناجحة,2694,
aajil.sa,https://www.aajil.sa/privacy-policy,success,aajil_sa.png,Privacy Policy,8930,
aamal.sa,https://aamal.sa/how-to-use-credit-cards-for-anonymity-a-complete-guide/,success,aamal_sa.png,| How to Use Credit Cards for Anonymity: A Complete Guide,20661,
aamalsoft.com.sa,https://www.aamalsoft.com.sa/Privacy-Page,success,aamalsoft_com_sa.png,الخصوصية,9795,
aamar.sa,https://aamar.sa/ar/terms,success,aamar_sa.png,شروط عمار - Aamar,7159,
